countyFIPS,PopulationDensityperSqMile2010,PopulationEstimate2018,#ICU_beds,MedianAge2010,Smokers_Percentage,DiabetesPercentage,HeartDiseaseMortality,#Hospitals
06037,2419.6,10105518.0,2126.0,34.8,10.847678109,8.1,150.8,76.0
17031,5495.1,5180493.0,1606.0,35.3,13.776183162,9.0,175.1,46.0
12086,1315.5,2761581.0,593.0,38.2,16.479410011,6.7,152.4,17.0
04013,414.9,4410824.0,1004.0,34.6,13.686398250999998,8.2,130.3,34.0
48201,2402.4,4698619.0,918.0,32.2,13.852121658,10.3,163.0,34.0
48113,2718.0,2637772.0,614.0,32.5,14.893746644,8.4,171.3,24.0
12011,1444.9,1951260.0,587.0,39.7,14.593792550999998,8.1,146.9,14.0
32003,247.3,2231647.0,535.0,35.5,16.979704666,10.0,204.3,19.0
48439,2094.7,2084931.0,409.0,33.4,14.048999672999999,10.3,158.3,22.0
06065,303.8,2450758.0,351.0,33.7,12.499944322000001,8.7,167.8,16.0
06071,101.5,2171603.0,410.0,31.7,12.628276552,9.4,181.4,18.0
48029,1383.1,1986049.0,648.0,32.8,14.899297572,8.5,172.9,13.0
48141,790.6,840758.0,203.0,31.3,13.836055884,9.5,139.9,9.0
06059,3807.7,3185968.0,651.0,36.2,9.311197445,7.8,133.0,24.0
06073,735.8,3343364.0,570.0,34.6,10.753175291,6.9,132.4,15.0
49035,1387.2,1152633.0,282.0,30.8,9.5543751625,7.2,152.7,10.0
12099,670.2,1485941.0,401.0,43.5,15.916105958,7.7,123.6,12.0
55079,3926.0,948201.0,381.0,33.6,17.817309912,10.1,182.6,8.0
36059,4704.8,1358343.0,461.0,41.1,11.225364644,7.2,188.2,10.0
36103,1637.4,1481093.0,281.0,39.8,12.625481467,6.8,181.8,10.0
12057,1204.9,1436888.0,432.0,36.1,17.455544372000002,9.2,160.3,8.0
42101,11379.5,1584138.0,528.0,33.5,20.614249405,10.4,213.7,15.0
12095,1268.5,1380645.0,388.0,33.7,15.599881132,9.3,151.0,3.0
26163,2974.4,1753893.0,586.0,37.3,21.055529729,10.3,259.2,14.0
27053,2081.7,1259428.0,311.0,35.9,11.889587779000001,6.4,98.1,8.0
36119,2204.7,967612.0,179.0,40.0,11.37154602,6.4,146.8,9.0
47157,1215.5,935764.0,277.0,34.6,20.096967848,11.4,202.4,6.0
39049,2186.1,1310300.0,449.0,33.4,19.93468173,9.5,175.9,10.0
47037,1243.3,692587.0,614.0,33.9,18.106899483,10.1,189.5,9.0
12031,1133.9,950181.0,412.0,35.8,19.790158358,11.3,171.6,7.0
29189,1967.2,996945.0,468.0,39.9,15.713734105,9.7,173.7,9.0
48215,493.2,865939.0,271.0,28.3,14.561317140999998,11.3,145.4,6.0
37119,1755.5,1093901.0,173.0,33.9,13.91919475,8.7,131.7,7.0
06029,103.3,896764.0,144.0,30.7,15.31417715,9.5,199.7,10.0
13121,1748.1,1050114.0,538.0,34.2,14.925509463,8.3,157.6,7.0
