FIPS,State,County,Desity,PopulationDensityperSqMile2010,PopulationEstimate2018,#ICU_beds,MedianAge2010,Smokers_Percentage,DiabetesPercentage,HeartDiseaseMortality,#Hospitals
17031,Illinois,Cook,5448.08,5495.1,5180493.0,1606.0,35.3,13.776183162,9.0,175.1,46.0
06037,California,Los Angeles,4765.82,4704.8,1358343.0,461.0,41.1,11.225364644,7.2,188.2,10.0
36059,New York,Nassau,2858.03,2974.4,1753893.0,586.0,37.3,21.055529729,10.3,259.2,14.0
36103,New York,Suffolk,2473.98,2419.6,10105518.0,2126.0,34.8,10.847678109,8.1,150.8,76.0
36119,New York,Westchester,1618.99,1637.4,1481093.0,281.0,39.8,12.625481467,6.8,181.8,10.0
42101,Pennsylvania,Philadelphia,6330.52,6211.5,799767.0,267.0,36.4,14.235389267999999,9.9,169.8,7.0
25017,Massachusetts,Middlesex,4000.7,3884.5,936692.0,147.0,41.1,11.410986988,6.8,140.1,6.0
26163,Michigan,Wayne,1970.73,1837.9,1614714.0,216.0,38.5,9.9544431395,6.8,121.8,11.0
34017,New Jersey,Hudson,2247.4,2204.7,967612.0,179.0,40.0,11.37154602,6.4,146.8,9.0
34003,New Jersey,Bergen,1509.6,1467.2,943823.0,173.0,39.5,10.157896011,6.4,137.1,6.0
25025,Massachusetts,Suffolk,11812.6,11379.5,1584138.0,528.0,33.5,20.614249405,10.4,213.7,15.0
34013,New Jersey,Essex,1213.06,1216.2,892697.0,216.0,39.9,11.356248015999999,8.6,149.3,7.0
12086,Florida,Miami-Dade,14557.1,13731.4,676061.0,105.0,34.2,15.382038155,8.2,157.6,6.0
34031,New Jersey,Passaic,5408.72,5216.1,558067.0,80.0,38.0,13.07573586,7.5,157.9,3.0
34039,New Jersey,Union,1449.4,1385.8,1259201.0,409.0,40.2,12.308266081,7.7,181.4,12.0
34023,New Jersey,Middlesex,2670.88,2621.6,829685.0,185.0,37.2,10.970467888,9.7,154.3,5.0
09001,Connecticut,Fairfield,1413.97,1426.8,857620.0,186.0,39.3,12.843951967,8.6,148.4,8.0
25009,Massachusetts,Essex,2718.6,2715.3,503310.0,97.0,36.1,13.782069143,7.8,167.4,2.0
36087,New York,Rockland,1601.9,1508.8,790638.0,98.0,40.4,11.74006476,8.3,135.7,5.0
24033,Maryland,Prince George's,13824.7,12415.7,807252.0,447.0,31.5,14.475410922,9.1,125.4,10.0
09009,Connecticut,New Haven,1823.74,1754.9,874759.0,122.0,39.9,18.558096157,9.5,196.6,4.0
48201,Texas,Harris,1784.29,1693.6,705388.0,59.0,40.7,12.238980283,7.3,130.5,4.0
36071,New York,Orange,965.657,917.0,601651.0,106.0,42.6,14.443273724,8.3,202.7,4.0
44007,Rhode Island,Providence,549.8,528.6,830839.0,169.0,39.2,13.804747585,7.9,146.6,8.0
25027,Massachusetts,Worcester,1720.18,1655.9,828604.0,215.0,40.6,13.194677885,7.0,142.7,11.0
09003,Connecticut,Hartford,1068.81,1069.8,494228.0,91.0,41.3,12.111935176,6.3,143.5,3.0
24031,Maryland,Montgomery,1431.69,1315.5,2761581.0,593.0,38.2,16.479410011,6.7,152.4,17.0
18097,Indiana,Marion,2433.97,2279.6,954670.0,526.0,33.9,19.241619979,11.6,183.2,9.0
34029,New Jersey,Ocean,1064.86,912.9,2233163.0,450.0,37.1,8.8150454593,7.1,118.9,17.0
51059,Virginia,Fairfax,1319.98,1344.7,621354.0,152.0,41.3,13.360452416,7.5,159.1,5.0
26125,Michigan,Oakland,755.699,751.0,470406.0,119.0,38.6,15.440525252,9.5,150.8,5.0
53033,Washington,King,2138.81,1978.2,1052567.0,150.0,38.5,8.1757134357,7.0,104.5,6.0
48113,Texas,Dallas,2302.82,2029.4,391006.0,111.0,34.6,22.609624129,10.3,189.7,5.0
04013,Arizona,Maricopa,3082.83,3040.5,564751.0,100.0,38.7,14.917709667999999,8.9,173.2,4.0
25021,Massachusetts,Norfolk,2286.61,2081.7,1259428.0,311.0,35.9,11.889587779000001,6.4,98.1,8.0
34025,New Jersey,Monmouth,790.802,750.9,518132.0,47.0,41.1,14.512457326,9.0,149.5,3.0
25023,Massachusetts,Plymouth,881.088,881.4,919719.0,262.0,40.4,17.253724261,9.6,180.9,6.0
22051,Louisiana,Jefferson,1883.87,1788.8,909308.0,89.0,34.9,11.97912293,12.1,172.2,5.0
17097,Illinois,Lake,1877.21,1796.0,325695.0,39.0,36.7,12.165288495,6.9,150.9,3.0
22071,Louisiana,Orleans,1462.95,1463.1,434051.0,215.0,38.4,18.743669593,12.7,178.7,5.0
12011,Florida,Broward,1636.22,1632.2,369811.0,92.0,37.8,13.55615998,8.1,158.5,4.0
26099,Michigan,Macomb,1039.65,1034.7,628195.0,90.0,42.0,14.369768279,6.4,139.8,7.0
17043,Illinois,DuPage,1089.87,1071.7,331164.0,28.0,40.2,10.843821150999998,6.2,136.2,1.0
06073,California,San Diego,474.245,459.3,381951.0,76.0,36.6,15.142023205,8.6,180.8,4.0
06065,California,Riverside,487.538,414.9,4410824.0,1004.0,34.6,13.686398250999998,8.2,130.3,34.0
25005,Massachusetts,Bristol,1957.87,1967.2,996945.0,468.0,39.9,15.713734105,9.7,173.7,9.0
34021,New Jersey,Mercer,1560.27,1530.3,636084.0,237.0,37.0,14.460953443,9.2,165.2,6.0
42091,Pennsylvania,Montgomery,1021.91,991.3,564022.0,96.0,39.8,15.01321279,9.2,154.3,4.0
34027,New Jersey,Morris,2818.08,2799.8,928589.0,257.0,38.2,12.257496254000001,7.7,127.9,6.0
42045,Pennsylvania,Delaware,287.238,247.3,2231647.0,535.0,35.5,16.979704666,10.0,204.3,19.0
27053,Minnesota,Hennepin,2935.09,2766.8,1150795.0,178.0,37.3,9.3661598787,5.9,95.3,4.0
34007,New Jersey,Camden,4753.01,3922.6,716492.0,227.0,33.7,14.664503350999999,5.7,146.5,6.0
32003,Nevada,Clark,759.874,670.2,1485941.0,401.0,43.5,15.916105958,7.7,123.6,12.0
55079,Wisconsin,Milwaukee,2289.03,2321.5,507078.0,199.0,37.9,16.134609166,10.7,180.8,4.0
