FIPS,State,County,x2020-02-15,x2020-02-16,x2020-02-17,x2020-02-18,x2020-02-19,x2020-02-20,x2020-02-21,x2020-02-22,x2020-02-23,x2020-02-24,x2020-02-25,x2020-02-26,x2020-02-27,x2020-02-28,x2020-02-29,x2020-03-01,x2020-03-02,x2020-03-03,x2020-03-04,x2020-03-05,x2020-03-06,x2020-03-07,x2020-03-08,x2020-03-09,x2020-03-10,x2020-03-11,x2020-03-12,x2020-03-13,x2020-03-14,x2020-03-15,x2020-03-16,x2020-03-17,x2020-03-18,x2020-03-19,x2020-03-20,x2020-03-21,x2020-03-22,x2020-03-23,x2020-03-24,x2020-03-25,x2020-03-26,x2020-03-27,x2020-03-28,x2020-03-29,x2020-03-30,x2020-03-31,x2020-04-01,x2020-04-02,x2020-04-03,x2020-04-04,x2020-04-05,x2020-04-06,x2020-04-07,x2020-04-08,x2020-04-09,x2020-04-10,x2020-04-11,x2020-04-12,x2020-04-13,x2020-04-14,x2020-04-15,x2020-04-16,x2020-04-17,x2020-04-18,x2020-04-19,x2020-04-20,x2020-04-21,x2020-04-22,x2020-04-23,x2020-04-24,x2020-04-25,x2020-04-26,x2020-04-27,x2020-04-28,x2020-04-29,x2020-04-30,x2020-05-01,x2020-05-02,x2020-05-03,x2020-05-04,x2020-05-05,x2020-05-06,x2020-05-07,x2020-05-08,x2020-05-09,x2020-05-10,x2020-05-11,x2020-05-12,x2020-05-13,x2020-05-14,x2020-05-15,x2020-05-16,x2020-05-17,x2020-05-18,x2020-05-19,x2020-05-20
17031,Illinois,Cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,3,1,5,2,8,12,4,17,34,12,34,26,19,23,40,63,39,47,55,32,58,34,53,92,38,100,17,38,87,70,70,78,47,46,34,110,59,91,66,70,43,16,120,82,106,87,67,53,44,88,140,86,87,52,25,50,91,94
36059,New York,Nassau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,2,0,8,2,8,8,4,9,15,13,19,43,258,0,139,85,81,77,112,75,65,79,108,69,70,0,0,221,61,79,47,49,54,50,45,41,36,38,34,29,27,27,27,29,75,15,22,26,25,12,28,15,17,14,8,10,13,11,9
26163,Michigan,Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,3,5,8,5,11,9,10,27,37,26,48,29,29,41,53,56,44,58,105,43,52,56,60,64,97,63,26,49,29,130,41,77,47,117,20,42,60,45,55,20,82,9,31,21,28,39,16,54,15,8,35,16,27,9,20,1,13,49,9
06037,California,Los Angeles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,2,4,2,8,6,6,4,7,10,11,13,11,28,15,15,22,29,25,18,24,31,24,40,42,53,40,81,24,17,46,66,68,53,45,18,29,58,56,55,61,37,20,27,57,54,51,50,44,18,39,44,46,0,96,38,28,18,74,57
36103,New York,Suffolk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,2,3,1,0,7,2,0,15,3,4,9,16,15,12,79,0,62,29,62,41,56,44,60,51,37,46,43,0,0,139,42,31,41,35,41,50,30,32,32,26,23,24,25,32,16,22,227,25,17,31,20,22,15,25,16,12,26,16,5,18,18
34013,New Jersey,Essex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,3,3,4,3,2,0,16,11,22,30,19,38,16,14,46,44,36,40,60,16,5,102,55,52,42,48,8,11,98,39,44,43,44,4,5,62,49,47,54,25,17,10,27,30,32,17,16,9,3,18,27,25,14,12,6,18,19,4
34003,New Jersey,Bergen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,1,2,1,2,2,1,6,7,7,0,6,12,22,45,12,47,10,11,63,51,31,45,45,18,29,68,58,60,46,27,26,20,48,41,31,27,20,1,5,42,55,79,51,15,8,5,46,28,30,10,19,7,3,30,21,14,20,7,5,5,14,26
25017,Massachusetts,Middlesex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,1,0,1,2,9,3,8,10,0,3,6,21,11,13,16,28,12,14,25,33,37,36,40,38,30,26,66,51,40,44,41,30,31,71,43,40,38,49,25,31,42,33,29,37,38,28,9,38,45,20,23,24,18,24,26
36119,New York,Westchester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,2,0,0,9,6,0,42,0,130,0,56,51,39,46,39,77,57,48,44,54,30,0,0,93,36,37,28,30,27,33,32,23,19,23,25,21,18,20,17,16,49,20,11,12,13,8,11,8,12,12,6,14,7,5,6
09001,Connecticut,Fairfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,1,5,1,2,5,1,0,17,8,19,11,10,10,5,31,23,23,25,17,28,14,25,78,41,19,7,15,65,32,40,31,47,27,18,20,20,27,36,29,26,0,45,25,17,25,29,11,7,10,12,22,25,16,16,21,7,7,7
42101,Pennsylvania,Philadelphia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,7,0,0,0,10,4,0,30,28,0,24,20,0,0,79,16,42,34,44,23,5,24,25,24,6,17,6,12,32,0,91,31,67,22,0,17,60,13,59,16,3,0,15,78,22,13,10,0,49,29,43
